Location (um) - Load	Load (gm) - Load	Location (um) - Top view	Diameter (um) - Top view	Location (um) - Side view	Diameter (um) - Side view	
		26456	68.7	26456	71.8	
		26516	69.8	26516	72.8	
		26546	70.9	26546	72.9	
		26576	72.0	26576	75.1	
		26606	72.0	26606	75.1	
		26666	72.0	26666	75.1	
		26696	73.1	26696	75.1	
		26726	73.1	26726	76.2	
		26756	74.2	26756	76.2	
		26816	74.2	26816	77.3	
		26846	74.2	26846	77.3	
		26876	74.2	26876	77.4	
		26936	75.3	26936	78.4	
		26966	76.4	26966	78.5	
		26996	76.4	26996	79.5	
		27026	76.4	27026	79.5	
		27086	76.4	27086	79.5	
		27116	76.4	27116	79.5	
		27146	76.4	27146	79.6	
		27207	77.5	27207	79.6	
		27237	77.5	27237	79.6	
		27267	77.5	27267	80.6	
		27297	77.5	27297	80.7	
		27357	77.5	27357	80.6	
		27387	77.5	27387	80.7	
		27417	77.5	27417	80.7	
		27447	77.5	27447	80.7	
		27507	78.6	27507	80.7	
		27537	77.5	27537	80.7	
		27567	77.5	27567	80.7	
		27597	77.5	27597	80.7	
		27657	77.5	27657	80.7	
		27687	77.5	27687	80.7	
		27717	77.5	27717	80.7	
		27777	78.6	27777	80.7	
