Location (um) - Load	Load (gm) - Load	Location (um) - Top view	Diameter (um) - Top view	Location (um) - Side view	Diameter (um) - Side view	
		5088	55.4	5088	57.3	
		5058	55.4	5058	57.3	
		5028	55.4	5028	58.4	
		4998	55.4	4998	58.4	
		4968	56.5	4968	59.5	
		4908	56.5	4908	59.5	
		4878	56.5	4878	60.5	
		4848	58.7	4848	60.6	
		4818	58.7	4818	61.7	
		4758	58.7	4758	62.8	
		4728	58.8	4728	62.8	
		4698	60.9	4698	62.9	
		4638	60.9	4638	64.0	
		4608	60.9	4608	65.0	
		4578	61.0	4578	65.0	
		4518	62.1	4518	65.1	
		4487	63.1	4487	66.2	
		4457	64.3	4457	67.2	
		4427	64.3	4427	67.3	
		4397	65.4	4397	68.4	
		4337	65.4	4337	68.4	
		4307	66.5	4307	68.4	
		4277	66.5	4277	69.5	
		4217	66.5	4217	70.6	
		4187	67.6	4187	70.6	
		4157	68.7	4157	70.7	
		4127	68.7	4127	71.7	
		4067	68.7	4067	71.8	
		4037	68.7	4037	72.8	
		4007	69.8	4007	72.8	
		3977	69.8	3977	72.9	
		3917	69.8	3917	72.9	
		3887	70.9	3887	72.9	
		3857	70.9	3857	72.9	
		3827	70.9	3827	74.0	
		3767	70.9	3767	74.0	
		3737	72.0	3737	74.0	
		3707	70.9	3707	75.1	
		3647	72.0	3647	75.1	
		3617	73.1	3617	75.1	
		3587	73.1	3587	75.2	
		3557	73.1	3557	76.2	
		3497	73.1	3497	77.3	
		3467	74.2	3467	77.3	
		3437	75.3	3437	77.3	
		3407	75.3	3407	77.4	
		3347	75.3	3347	78.5	
		3317	75.3	3317	79.5	
		3287	75.3	3287	79.5	
		3257	76.4	3257	79.5	
		3197	76.4	3197	79.5	
		3167	76.4	3167	79.6	
		3137	77.5	3137	79.6	
		3107	76.4	3107	80.7	
		3047	78.6	3047	81.8	
		3017	78.6	3017	81.8	
		2987	78.6	2987	81.8	
		2927	79.7	2927	82.9	
		2897	79.7	2897	82.9	
		2867	79.7	2867	84.0	
		2837	80.8	2837	84.0	
		2777	80.8	2777	84.0	
		2747	80.8	2747	84.1	
		2717	81.9	2717	85.1	
		2657	81.9	2657	85.1	
		2626	81.9	2626	85.2	
		2596	83.0	2596	85.2	
		2566	83.0	2566	87.3	
		2506	84.1	2506	87.3	
		2476	84.1	2476	87.4	
		2446	84.1	2446	87.4	
		2416	85.2	2416	88.5	
		2356	85.2	2356	89.6	
		2326	86.3	2326	89.6	
		2296	87.4	2296	89.6	
		2266	87.4	2266	90.7	
		2206	87.4	2206	90.8	
		2176	87.5	2176	91.8	
		2146	89.6	2146	91.9	
		2116	89.6	2116	93.0	
		2056	89.6	2056	93.0	
		2026	89.7	2026	94.1	
		1996	90.8	1996	94.1	
		1966	91.9	1966	94.1	
		1906	91.9	1906	95.2	
		1876	91.9	1876	95.2	
		1846	93.0	1846	96.3	
		1786	94.1	1786	96.3	
		1756	94.1	1756	97.4	
		1726	94.1	1726	97.4	
		1696	95.2	1696	98.5	
		1636	95.2	1636	98.6	
		1606	96.3	1606	99.6	
		1576	96.3	1576	99.7	
		1516	97.4	1516	99.7	
		1486	97.4	1486	100.8	
		1456	97.4	1456	100.8	
		1425	98.5	1425	101.9	
		1395	98.5	1395	101.9	
		1335	99.6	1335	101.9	
		1305	99.6	1305	103.1	
		1275	100.7	1275	104.1	
		1215	100.7	1215	104.1	
		1185	100.7	1185	104.2	
		1155	102.9	1155	106.3	
		1125	102.9	1125	106.3	
		1065	102.9	1065	106.4	
		1035	104.0	1035	107.5	
		1005	105.1	1005	107.5	
		945	105.1	945	108.6	
		915	105.1	915	108.6	
		885	106.2	885	109.7	
		855	107.3	855	109.7	
		795	107.3	795	110.8	
		765	107.3	765	110.8	
		735	107.3	735	110.8	
		705	108.4	705	111.9	
		645	108.4	645	111.9	
		615	108.4	615	111.9	
		585	109.5	585	112.0	
		555	109.5	555	112.0	
		495	110.6	495	114.2	
		465	110.6	465	114.2	
		435	110.6	435	114.2	
		405	110.6	405	115.3	
		345	111.7	345	115.3	
		314	112.8	314	115.3	
		284	112.8	284	115.4	
		224	113.9	224	116.5	
		194	113.9	194	117.5	
		164	113.9	164	118.6	
		134	115.0	134	118.6	
		74	116.1	74	118.7	
		44	116.1	44	118.7	
		14	116.2	14	119.8	
